Job;Build Id; Build Status; Job Start; Job End
CFN_Exporter_Region_Migrate;2;SUCCESS;2020-03-13 13:34:51;2020-03-13 13:40:38
CFN_Exporter_Region_Migrate;1;SUCCESS;2020-03-13 13:27:49;2020-03-13 13:29:02
EC2-Migration-To-Azure;14;SUCCESS;2020-03-15 01:18:12;2020-03-15 01:18:12
EC2-Migration-To-Azure;13;SUCCESS;2020-03-08 23:39:57;2020-03-08 23:39:57
EC2-Migration-To-Azure;12;SUCCESS;2020-03-08 23:31:27;2020-03-08 23:31:27
EC2-Migration-To-Azure;11;SUCCESS;2020-03-08 19:22:15;2020-03-08 19:22:15
EC2-Migration-To-Azure;10;FAILURE;2020-03-08 19:20:53;2020-03-08 19:20:53
EC2-Migration-To-Azure;9;SUCCESS;2020-03-08 19:05:32;2020-03-08 19:05:32
EC2-Migration-To-Azure;8;SUCCESS;2020-03-08 19:00:52;2020-03-08 19:00:52
EC2-Migration-To-Azure;7;SUCCESS;2020-03-08 18:57:15;2020-03-08 18:57:15
EC2-Migration-To-Azure;6;SUCCESS;2020-03-08 18:55:28;2020-03-08 18:55:28
EC2-Migration-To-Azure;5;SUCCESS;2020-03-08 18:34:51;2020-03-08 18:34:51
EC2-Migration-To-Azure;4;SUCCESS;2020-03-08 18:28:56;2020-03-08 18:28:56
EC2-Migration-To-Azure;3;SUCCESS;2020-03-08 18:27:46;2020-03-08 18:27:46
EC2-Migration-To-Azure;2;SUCCESS;2020-03-08 18:17:36;2020-03-08 18:17:36
EC2-Migration-To-Azure;1;FAILURE;2020-03-08 18:14:43;2020-03-08 18:14:43
